data,Dolar
1953-02-01,36.5
1953-03-01,41.0
1953-04-01,39.0
1953-05-01,43.0
1953-06-01,43.7
1953-07-01,39.9
1953-08-01,37.5
1953-09-01,37.1
1953-10-01,37.1
1953-11-01,51.0
1953-12-01,54.5
1954-01-01,53.0
1954-02-01,58.5
1954-03-01,56.6
1954-04-01,50.5
1954-05-01,55.0
1954-06-01,56.0
1954-07-01,58.5
1954-08-01,59.8
1954-09-01,61.8
1954-10-01,64.0
1954-11-01,69.5
1954-12-01,72.0
1955-01-01,70.0
1955-02-01,71.0
1955-03-01,73.5
1955-04-01,74.0
1955-05-01,74.0
1955-06-01,73.0
1955-07-01,69.5
1955-08-01,68.5
1955-09-01,65.0
1955-10-01,63.0
1955-11-01,63.5
1955-12-01,64.5
1956-01-01,67.0
1956-02-01,66.5
1956-03-01,68.0
1956-04-01,70.0
1956-05-01,76.0
1956-06-01,76.0
1956-07-01,70.0
1956-08-01,70.0
1956-09-01,65.0
1956-10-01,65.0
1956-11-01,63.0
1956-12-01,63.5
1957-01-01,63.5
1957-02-01,64.3
1957-03-01,63.3
1957-04-01,66.5
1957-05-01,71.5
1957-06-01,69.0
1957-07-01,72.0
1957-08-01,77.3
1957-09-01,80.3
1957-10-01,84.3
1957-11-01,91.3
1957-12-01,88.8
1958-01-01,96.3
1958-02-01,96.8
1958-03-01,106.3
1958-04-01,120.3
1958-05-01,122.5
1958-06-01,130.3
1958-07-01,132.3
1958-08-01,152.3
1958-09-01,154.3
1958-10-01,139.8
1958-11-01,135.3
1958-12-01,137.8
1959-01-01,141.3
1959-02-01,136.8
1959-03-01,137.3
1959-04-01,134.8
1959-05-01,129.3
1959-06-01,143.0
1959-07-01,150.0
1959-08-01,150.0
1959-09-01,150.0
1959-10-01,160.0
1959-11-01,180.0
1959-12-01,180.0
1960-01-01,183.0
1960-02-01,182.0
1960-03-01,182.0
1960-04-01,182.0
1960-05-01,182.0
1960-06-01,182.0
1960-07-01,182.0
1960-08-01,182.0
1960-09-01,182.0
1960-10-01,182.0
1960-11-01,182.0
1960-12-01,190.0
1961-01-01,215.0
